benchmark,hostname,num_procs,oversubscribed,avg_time,std_dev
count_primes, Aureolin, 1, 0, 7.776584e-05, 1.690134e-06
count_primes, Aureolin, 1, 0, 7.836169e-05, 1.517641e-06
count_primes, Aureolin, 1, 0, 7.825984e-05, 2.065884e-06
count_primes, Aureolin, 2, 0, 8.228726e-05, 1.602608e-06
count_primes, Aureolin, 2, 0, 8.318276e-05, 2.179562e-06
count_primes, Aureolin, 2, 0, 8.418220e-05, 2.259546e-06
count_primes, Aureolin, 2, 0, 8.357019e-05, 1.833328e-06
count_primes, Aureolin, 2, 0, 8.922816e-05, 1.373100e-05
count_primes, Aureolin, 2, 0, 8.520903e-05, 1.975248e-06
count_primes, Aureolin, 2, 0, 8.712204e-05, 1.733953e-06
count_primes, Aureolin, 2, 0, 8.658925e-05, 1.558322e-06
count_primes, Aureolin, 4, 0, 1.071840e-04, 5.687424e-06
count_primes, Aureolin, 4, 0, 1.078322e-04, 1.043722e-05
count_primes, Aureolin, 4, 0, 1.043234e-04, 8.285070e-06
count_primes, Aureolin, 4, 0, 1.033673e-04, 1.085958e-05
count_primes, Aureolin, 4, 0, 1.049946e-04, 6.490534e-06
count_primes, Aureolin, 4, 0, 1.056250e-04, 4.404019e-06
count_primes, Aureolin, 4, 0, 1.078034e-04, 8.868858e-06
count_primes, Aureolin, 4, 0, 1.043857e-04, 4.715865e-06
count_primes, Aureolin, 6, 0, 1.467914e-04, 1.245414e-05
count_primes, Aureolin, 6, 0, 1.502026e-04, 1.856114e-05
count_primes, Aureolin, 6, 0, 1.491275e-04, 2.050042e-05
count_primes, Aureolin, 6, 0, 1.457164e-04, 2.316663e-05
count_primes, Aureolin, 6, 0, 1.467796e-04, 2.547669e-05
count_primes, Aureolin, 6, 0, 1.396496e-04, 2.569380e-05
count_primes, Aureolin, 6, 0, 1.191194e-04, 1.677030e-05
count_primes, Aureolin, 6, 0, 1.256685e-04, 2.166582e-05
count_primes, Aureolin, 8, 0, 1.769905e-04, 4.763562e-06
count_primes, Aureolin, 8, 0, 1.803922e-04, 4.655650e-06
count_primes, Aureolin, 8, 0, 1.798799e-04, 5.014137e-06
count_primes, Aureolin, 8, 0, 1.796366e-04, 3.584102e-06
count_primes, Aureolin, 8, 0, 1.790466e-04, 3.478171e-06
count_primes, Aureolin, 8, 0, 1.805094e-04, 3.464963e-06
count_primes, Aureolin, 8, 0, 1.782479e-04, 3.847903e-06
count_primes, Aureolin, 8, 0, 1.781877e-04, 4.525778e-06
count_primes, Aureolin, 16, 1, 2.138351e-04, 1.152188e-05
count_primes, Aureolin, 16, 1, 2.223234e-04, 7.183313e-06
count_primes, Aureolin, 16, 1, 2.205326e-04, 9.040823e-06
count_primes, Aureolin, 16, 1, 2.121106e-04, 5.086356e-06
count_primes, Aureolin, 16, 1, 2.109811e-04, 3.710406e-06
count_primes, Aureolin, 16, 1, 2.259419e-04, 5.021326e-05
count_primes, Aureolin, 16, 1, 2.143287e-04, 1.308352e-05
count_primes, Aureolin, 16, 1, 2.168025e-04, 1.025552e-05
count_primes, Aureolin, 24, 1, 2.226281e-03, 2.858264e-04
count_primes, Aureolin, 24, 1, 1.979715e-03, 1.836226e-04
count_primes, Aureolin, 24, 1, 1.992997e-03, 2.249207e-04
count_primes, Aureolin, 24, 1, 1.914509e-03, 2.095506e-04
count_primes, Aureolin, 24, 1, 2.001188e-03, 2.135980e-04
count_primes, Aureolin, 24, 1, 1.842580e-03, 2.160192e-04
count_primes, Aureolin, 24, 1, 1.135683e-03, 8.678888e-04
